Plot;Year;Treatment;Bloc;SP1;SP3;SP4;SP5;SP6;SP7;SP8;SP9;SP11;SP12;SP13;SP14;SP15;SP16;SP18;SP19;SP20;SP21;SP22;SP23;SP24;SP25;SP26;SP28;SP30;SP31;SP33;SP34;SP35;SP36;SP37;SP38;SP39;SP40;SP41;SP42;SP43;SP44;SP45;SP46;SP47;SP48;SP49;SP50;SP51;SP52;SP53;SP55;SP56;SP57;SP58;SP60;SP62;SP63;SP64;SP65;SP67;SP68;SP69;SP70;SP71;SP72;SP73;SP74;SP75;SP76;SP77;SP78;SP79;SP80;SP81;SP82;SP83;SP84;SP85;SP86;SP87;SP88;SP90;SP91;SP92;SP93;SP94;SP95;SP96;SP97;SP98;SP99;SP101;SP102;SP103;SP104;SP105;SP106;SP107;SP108;SP109;SP110
6;2010;Mown_NPK;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;39;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;2010;Mown_NPK;1;0.840336134;0.840336134;0;0;1.680672269;0;0;0;0;0;0;0.840336134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.840336134;31.09243697;0;0;0;7.56302521;0;0;0;0;0;0;0;0;0;0;0.840336134;0;0;0;0;1.680672269;0;0;0;2.521008403;1.680672269;0;0;0;0;3.361344538;0;0;11.76470588;0;0;0;0;0;0;0;0;0;0;3.361344538;0;0;0;2.521008403;28.57142857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2010;Mown_NPK;2;0;0;0;0;21.25984252;1.57480315;0;0;0;0;0;0;0;0;0;0;0;0.787401575;0;0;0;2.362204724;0;0;0;0;0;0.787401575;7.874015748;0;0;0;0.787401575;0;0;0;0;0;0;0;0;0;0;8.661417323;0;0;0;0;0;0;0;0;0;1.57480315;0;0;0;0;0;0;0;14.17322835;1.57480315;0;0;0;0;0;0;0;0;0;0;0;0;0;2.362204724;25.98425197;0;0;0;0;9.448818898;0.787401575;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;2010;Mown_NPK;2;9.150326797;0;0;0;22.87581699;0;0;0;0;0;0;0;0;0;0;0;0;0.653594771;1.307189542;0;0;0;0;0;0;0;0;1.960784314;0;0;0;0;3.921568627;0;0;0;0;0;0;0;0;0;0;3.921568627;0;0;0;0;0;0;0;0;0;7.189542484;0;0;0;0;0;0;0;13.7254902;6.535947712;0;0;0;0;0;0;0;2.614379085;1.307189542;0.653594771;0;0;0;1.960784314;22.22222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2011;Mown_NPK;1;0;0;0;0;0.793650794;0.793650794;0;0;0;0;0;0;0;0;0;0;0;0;2.380952381;0;0;0;0;0;0;0;0;1.587301587;31.74603175;0;0;0;10.31746032;0;0;0;0;0;0;0;0;0;0;0.793650794;0;0;0;0;0.793650794;0;0;0;2.380952381;7.142857143;0;0;0;0;0;0;0;13.49206349;0;0;0;0;0;0;0;0;0;0;0.793650794;0;0;0;2.380952381;24.6031746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;2011;Mown_NPK;1;1.680672269;0.840336134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.680672269;0;0;0;0;0;0;0;0;0.840336134;31.09243697;0;0;0;10.92436975;0;0;0;0;0;0;0;0;0;0;0.840336134;0;0;0;0;0;0;0;0;5.042016807;0;0;0;0;0;1.680672269;0;0;18.48739496;0.840336134;0;0;0;0;0;0;0;0;0;2.521008403;0;0;0;0;23.52941176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2011;Mown_NPK;2;0;0.617283951;0;0;17.28395062;1.234567901;0;0;0;0.617283951;0;0.617283951;0;0;0;0;0;0;2.469135802;0;0;5.555555556;0;0;0;0;0;0;5.555555556;0;0;0;1.851851852;0;0;0;0;0.617283951;0;0;0;0;0;8.024691358;0;0;0;0;0;0;0;0;0.617283951;1.234567901;0;0;0;0;0;0;1.851851852;17.90123457;0.617283951;0;0;0;0;0.617283951;0;0;0;0;0;0;0;0;4.938271605;16.66666667;0;0;0;0;10.49382716;0.617283951;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;2011;Mown_NPK;2;6.451612903;0;0;0;19.35483871;0;0;0;0;0;0;0;0;0;0;0;0;0;1.935483871;0;0;0;0;0;0;0;0;1.935483871;0;0;0;0;5.806451613;0;0;0;0;0;0;0;0;0;0;5.806451613;0;0;0;0;0;0;0;0;0;5.161290323;0;0;0;0;0;0;3.225806452;14.83870968;7.096774194;0;0;0;0;0;0;0;1.935483871;0.64516129;0;0;0;0;3.225806452;21.29032258;0;0;0;1.290322581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2012;Mown_NPK;1;0;0;0;0;1.492537313;0.746268657;0;0;0;0;0;0;0;0;0;0;0;0.746268657;1.492537313;0;0;0;0;0;0;0;0;2.985074627;29.85074627;0;0;0;8.208955224;0;0;0;0;0;0;0;0;0;0;0.746268657;0;0;0;0;0;0;0;0;4.47761194;5.223880597;0;0;0;0;0;0;0;14.17910448;0.746268657;0;0;0;0;0;0;0;0;0;0;0;0;0;2.985074627;23.13432836;0;0;0.746268657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;2012;Mown_NPK;1;0.787401575;0.787401575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.362204724;0;0;0;0;0;0;0;0;2.362204724;29.13385827;0;0;0;10.23622047;0;0;0;0;0;0;0;0;0;0;0.787401575;0;0;0;0;0;0;0;0;4.724409449;0;0;0;0;0;1.57480315;0;0;17.32283465;0;0;0;0;0;0;0;0;0;0;0.787401575;0;0;0;0.787401575;26.77165354;0;0;0;0;0;0;0;0;0;0.787401575;0;0;0;0;0;0;0;0;0;0
