Species;SLA
SP1;15.3717932133088
SP3;32.005099095
SP4;32.5122417715385
SP5;37.839991092
SP6;24.4795081640909
SP7;30.766827278125
SP8;33.289919159
SP9;29.63471355
SP11;18.9
SP12;29.7701286947059
SP13;32.27184126125
SP14;27.7833333333333
SP15;20.3758078816667
SP16;22.47
SP18;25.8994705
SP19;18.2833333333333
SP20;17.0666666666667
SP21;27.3284251254545
SP22;21.5358656333333
SP23;NA
SP24;20.3011228825
SP25;18.4216547161905
SP26;13.35
SP28;17.4382559644444
SP30;31.2333333333333
SP31;30.8849732255556
SP33;24.9677777777778
SP34;26.7557221019048
SP35;25.516144292069
SP36;41.31818182
SP37;24.0321977560513
SP38;27.2
SP39;17.190358662
SP40;25.4346556076923
SP41;17.8525481677778
SP42;15.241282075
SP43;29.575
SP44;34.1955103038889
SP45;24.7426923075
SP46;26.15
SP47;24.4142857142857
SP48;32.379978759
SP49;21.3250607438889
SP50;36.4895061036364
SP51;41.57557418
SP52;25.8187383221739
SP53;26.908716703
SP55;19.33902404
SP56;41.0764654614286
SP57;25.333787175625
SP58;24.8280103673684
SP60;NA
SP62;21.779478667
SP63;28.9373606936364
SP64;21.55532038625
SP65;24.10384538125
SP67;20.5
SP68;18.7666666666667
SP69;26.2668377015152
SP70;18.2916642654737
SP71;20
SP72;23.0426029608431
SP73;29.9617086664706
SP74;26.208550725
SP75;22.7975663659259
SP76;31.9333333333333
SP77;20.1517053861538
SP78;29.0502760174074
SP79;17.93333333
SP80;25.08600273125
SP81;31.3261801715
SP82;36.2714285714286
SP83;32.6041000631818
SP84;33.5666666666667
SP85;9.05
SP86;39.6782417584615
SP87;51.3395092221429
SP88;24.1796009092857
SP90;29.3142857142857
SP91;28.265
SP92;23.7343853780702
SP93;30.7329126704348
SP94;22.743241502
SP95;30.4616457225
SP96;31.7
SP97;28.7569444441667
SP98;30.5976589444444
SP99;22.1
SP101;36.064192773
SP102;23.1
SP103;NA
SP104;24.2479706339412
SP105;22.0571428571429
SP106;22.4128571428571
SP107;NA
SP108;34.391395680625
SP109;25.5491497877805
SP110;24.32
