Species;SLA
SP1;15.209042119885
SP3;32.3800566256087
SP4;32.5269571519255
SP5;36.8666592436697
SP6;24.8575579175527
SP7;33.3910822594704
SP8;32.1499265079145
SP9;29.49905449238
SP11;19.5285714285714
SP12;28.4900951220535
SP13;31.1985744461367
SP14;27.7833333333333
SP15;19.9354847285068
SP16;20.4327272727273
SP18;18.4927777777778
SP19;17.0666666666667
SP20;15.1
SP21;26.5836338190184
SP22;21.612342192691
SP23;NA
SP24;20.3011228825
SP25;17.6644836904578
SP26;13.35
SP28;17.1077689802286
SP30;31.2333333333333
SP31;29.6540474393794
SP33;24.7523076923077
SP34;26.0830100522055
SP35;24.662439105861
SP36;41.3181818181818
SP37;24.3237758080379
SP38;27.2
SP39;17.7279770346998
SP40;24.8522512725765
SP41;21.2909595363514
SP42;13.4432004086713
SP43;28.8111111111111
SP44;33.9636116807169
SP45;25.5148520707692
SP46;26.15
SP47;24.4142857142857
SP48;34.6124867246094
SP49;21.3353865907786
SP50;37.7293733802094
SP51;41.6594040980958
SP52;25.847843169092
SP53;25.1491979395066
SP55;19.3390240409254
SP56;39.8642506330769
SP57;24.9863922875379
SP58;24.5286964472309
SP60;NA
SP62;22.4412322223124
SP63;28.712785916925
SP64;21.7928003032502
SP65;23.0282511865644
SP67;20.5
SP68;18.7666666666667
SP69;25.9845404559941
SP70;18.812238157757
SP71;18.22
SP72;22.5686577078786
SP73;30.6840476062685
SP74;26.32818840625
SP75;23.3951267059708
SP76;31.9333333333333
SP77;19.3294062710789
SP78;27.5730544994714
SP79;18.5333333333333
SP80;24.5062914354849
SP81;30.4091484976679
SP82;32.1
SP83;31.384175509605
SP84;33.5666666666667
SP85;9.05
SP86;36.9868907563025
SP87;50.6903526559432
SP88;23.7366454682698
SP90;28.2846153846154
SP91;27.2613333333333
SP92;24.1593020846801
SP93;31.2045805574254
SP94;22.3532759390348
SP95;29.1924669823208
SP96;31.7
SP97;27.5521666666667
SP98;30.9783291211144
SP99;22.1
SP101;37.1776204831229
SP102;23.1
SP103;NA
SP104;26.8715848534157
SP105;NA
SP106;22.3521739130435
SP107;22.0571428571429
SP108;35.2281165442779
SP109;25.9071039477886
SP110;24.32
